comment1,comment2,No.,Ticker,MarketCap,P/E,FwdP/E,PEG,P/S,P/B,P/C,P/FCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
bad business,"drained cash flow on capex without result, 10Y capex 80%",4,HMC,57.04B,7.71,-,0.51,0.46,0.62,2.14,9.87,46.40%,-,14.80%,15.20%,-2.00%,30.66,0.66%,"1,573,632"
1,,5,E,53.95B,31.47,-,1.61,0.77,1.18,3.41,9.52,-,-,-1.80%,19.50%,-9.50%,30.34,-1.49%,"662,103"
3,,8,VIAC,22.73B,7.4,9.4,-,0.85,1.1,4.71,52.73,-26.30%,1.75%,3.30%,-6.49%,14.80%,35.03,-2.69%,"10,505,924"
bought,value 26,10,PKX,19.86B,3.71,-,-,0.34,0.44,1.29,3.86,-11.60%,-,61.30%,-,-0.10%,58.92,-2.85%,"200,729"
3,and 1,11,TCOM,19.39B,31.27,7.97,-,6.03,1.08,1.96,-,-149.50%,256.73%,-23.00%,-,10.90%,29.58,1.51%,"5,942,278"
1,,12,LBTYA,15.26B,1.34,52.23,-,1.29,0.59,4.66,8.53,-25.10%,-97.68%,-13.80%,-,-6.80%,27.68,-0.72%,"798,499"
2,,14,WFG,12.77B,2.75,5.51,0.1,1.03,1.14,4.77,3.08,633.50%,-34.40%,67.20%,28.83%,7.40%,97.88,-1.64%,"181,403"
bad business,too difficult,16,SKM,10.05B,0.95,-,-,0.62,0.09,3.81,6.18,68.70%,-,-0.50%,-,1.70%,25.22,-1.41%,"254,767"
watch,"value 6.3, 1st 4.4",19,KT,6.96B,7.38,-,1.8,0.34,0.52,2.13,1.82,6.80%,-,9.90%,4.10%,1.40%,13.3,-0.67%,"354,724"
1,,21,X,6.45B,1.6,7.79,0.2,0.32,0.8,3.15,6.17,-61.10%,-67.36%,12.00%,8.00%,-3.40%,23.31,-1.56%,"16,411,606"
2,unstable earning,22,HFC,5.80B,13.21,9.04,-,0.37,1.08,3.91,10.06,-180.80%,152.45%,-24.20%,-6.61%,-3.30%,38.2,-1.09%,"2,429,891"
