No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,TTE,132.47B,8.42,6.17,0.22,0.72,1.2,4.03,26.3,-169.60%,-8.90%,-27.20%,38.00%,-3.60%,49.82,-1.91%,"3,201,840"
2,BP,94.15B,12.84,6.4,-,0.6,1.3,3.05,24.9,-608.80%,-13.62%,-23.20%,-2.00%,-6.30%,28.74,-1.03%,"16,262,516"
3,E,52.15B,7.46,-,0.38,0.61,1.14,3.4,-,-,-,-1.80%,19.50%,-9.50%,28.36,-2.74%,"1,032,409"
4,HMC,51.28B,7.28,-,0.48,0.43,0.59,1.96,9.07,46.40%,-,14.80%,15.20%,-2.00%,28.32,0.28%,"814,445"
5,BIDU,51.22B,32.16,2.26,8.42,2.61,1.55,1.8,-,-55.30%,26.40%,-1.80%,3.82%,12.00%,149.04,1.28%,"14,378,601"
6,MPC,43.09B,37.42,14.44,1.56,0.36,1.8,3.98,30.52,111.90%,6.00%,-1.80%,24.05%,13.80%,78.32,1.52%,"17,483,595"
7,NOK,30.34B,16.87,11.39,1.14,1.23,1.56,2.85,13.31,163.90%,8.33%,33.20%,14.77%,-1.20%,5.33,0.19%,"20,818,301"
8,PARA,24.06B,5.69,15.68,-,0.84,1.08,3.84,-,77.50%,-15.14%,13.80%,-4.32%,16.80%,37.09,0.60%,"26,673,526"
9,PKX,20.17B,3.35,-,-,0.32,0.43,1.34,4.81,327.50%,-,39.00%,-,7.50%,59.67,0.30%,"126,824"
10,TCOM,14.59B,24.51,6.46,-,4.53,0.85,1.47,-,-149.50%,245.38%,-23.00%,-,10.90%,23.21,4.03%,"9,657,601"
11,LBTYA,13.46B,1.08,54.2,-,1.3,0.53,4.23,6.28,937.10%,78.24%,67.80%,-,-5.60%,25.31,-0.24%,"1,828,112"
12,KOF,11.14B,14.38,13.99,0.73,1.17,1.93,4.47,15.43,-14.80%,11.33%,-0.10%,19.80%,3.80%,52.4,-0.91%,"193,509"
13,IAC,9.29B,16.56,46.18,1.27,2.51,1.27,4.34,198.45,98.00%,-112.10%,70.20%,13.00%,3.30%,105.06,1.55%,"690,056"
14,BWA,9.20B,17.23,6.96,0.86,0.62,1.33,5,8.06,-4.00%,23.08%,-4.10%,20.07%,10.30%,38.62,0.70%,"3,171,027"
15,X,9.00B,2.26,10.18,0.28,0.44,0.98,3.57,2.79,351.30%,-68.99%,48.80%,8.00%,14.60%,32.96,-4.60%,"32,836,042"
16,TX,8.32B,2.19,6.91,2.19,0.52,0.79,3.24,4.17,391.40%,-37.87%,45.10%,1.00%,17.40%,42.66,0.68%,"583,857"
17,FSLR,8.32B,17.7,32.11,8.08,2.85,1.38,4.55,-,17.40%,639.14%,25.30%,2.19%,0.10%,77.6,-0.79%,"1,964,602"
18,KT,6.94B,5.73,-,1.4,0.34,0.52,1.99,1.6,114.60%,-,12.10%,4.10%,1.80%,13.64,0.37%,"882,676"
19,ALK,6.84B,15.19,9.02,0.78,1.11,1.83,2.2,6.72,134.10%,129.88%,-10.60%,19.43%,0.80%,55.19,1.60%,"2,433,239"
20,TIMB,6.44B,10.97,-,-,1.8,1.29,3.31,8.65,60.40%,-,31.60%,-,2.90%,13.29,-0.08%,"445,401"
21,PVH,5.73B,12.02,8.36,-,0.65,1.15,4.42,9.32,-385.30%,7.70%,-34.00%,-6.04%,-2.30%,83.73,2.17%,"1,767,682"
22,PRGO,5.15B,-,11.16,-,1.25,0.99,2.76,-,-401.70%,38.19%,48.90%,4.00%,-4.80%,38.26,-0.70%,"1,164,239"
23,SHI,4.76B,3.88,-,-,0.48,0.47,3.61,-,-70.90%,-,-27.80%,-1.10%,-1.70%,20.28,2.79%,"12,698"
24,SEB,4.61B,8.09,-,-,0.5,1.04,3.09,-,101.50%,-,13.00%,-,11.40%,3973.01,0.41%,"1,608"
25,SSRM,4.54B,16.95,18.87,-,3.08,1.3,4.29,11.32,74.20%,-7.70%,21.00%,-,24.60%,21.7,1.50%,"5,680,676"
26,JOBS,3.52B,36.3,3.19,12.02,5.27,1.74,2.2,-,102.00%,29.13%,10.30%,3.02%,12.40%,52.6,0.80%,"445,078"
27,FL,3.26B,3.78,7.55,0.11,0.36,1,2.43,5.23,-32.00%,-3.82%,-4.40%,35.86%,0.40%,32.34,-0.31%,"3,010,716"
28,YPF,3.16B,876,3.18,-,0.27,0.22,3.04,2.09,100.40%,-9.22%,15.00%,-6.39%,43.30%,4.38,-2.23%,"1,392,258"
29,XRX,3.06B,-,9.33,-,0.44,0.77,1.66,5.24,-404.10%,36.65%,-25.30%,6.00%,-8.20%,20.11,2.65%,"5,821,882"
30,REGI,3.06B,14.19,20.82,2.68,0.94,1.77,3.88,-,60.90%,-12.23%,23.90%,5.29%,9.70%,60.66,-0.34%,"4,452,007"
31,DQ,3.05B,4.56,4.87,0.06,1.82,1.54,3.04,-,471.40%,-43.39%,66.50%,74.87%,53.60%,44.93,8.13%,"2,179,632"
32,GHC,2.93B,8.58,16.97,0.47,0.92,0.67,3.02,298.74,21.20%,-20.78%,18.80%,18.10%,5.10%,604.89,1.25%,"42,715"
33,VSH,2.88B,9.86,8.42,0.43,0.89,1.68,3.12,12.29,142.30%,-0.83%,44.60%,22.70%,6.90%,20.2,1.76%,"2,748,533"
34,RIG,2.82B,-,-,-,1.1,0.25,2.89,7.67,-0.80%,-23.10%,-19.60%,-,-9.30%,4.26,-0.70%,"25,508,443"
35,NTCT,2.34B,42.48,16.21,23.87,2.67,1.14,4.24,10.54,815.40%,10.51%,22.50%,1.78%,-2.70%,31.52,-0.72%,"1,807,089"
36,ODP,2.24B,13.42,10.62,1.09,0.27,1.63,4.37,8.22,396.80%,5.23%,-22.20%,12.30%,-5.10%,46.98,1.47%,"734,753"
37,RIOT,2.16B,92.12,11.62,4.61,16.94,1.52,4.48,-,71.90%,52.26%,35.80%,20.00%,366.30%,19.53,5.97%,"13,473,207"
38,PAM,2.14B,3.89,5.96,0.51,1.62,0.71,3.98,4.12,114.10%,-35.16%,248.20%,7.60%,41.90%,21.45,-0.28%,"168,193"
39,SATS,2.12B,33.75,38.1,6.75,1.07,0.65,1.37,10.93,297.60%,-58.99%,-11.00%,5.00%,1.90%,25.11,1.74%,"562,226"
40,NEO,2.04B,-,-,-,4.22,1.98,3.96,-,-286.40%,-88.50%,29.40%,12.30%,15.90%,17.9,8.75%,"1,830,920"
41,EGO,2.02B,180.66,15.5,36.13,2.15,0.56,4.2,25.21,-92.00%,33.40%,30.50%,5.00%,16.80%,11.02,-1.08%,"4,302,447"
42,EBS,2.00B,9.96,13.13,-,1.12,1.41,3.48,20.85,-24.70%,43.92%,27.50%,-,29.70%,42.76,7.76%,"1,144,015"
43,EDU,1.88B,-,-,-,0.43,0.52,0.39,-,-21.90%,-,7.20%,-,23.70%,1.28,15.32%,"85,985,839"
44,AKO-B,1.88B,10.22,10.46,0.97,0.68,1.47,3.02,28.05,26.80%,10.10%,11.30%,10.50%,4.50%,12.55,-4.42%,"2,507"
45,INT,1.73B,23.31,11.64,4.66,0.06,0.88,2.66,16.47,-32.00%,27.67%,-8.50%,5.00%,3.00%,27.13,-0.66%,"1,638,278"
46,TARO,1.71B,1109.76,10.36,-,3.02,1.01,2.17,-,-259.30%,158.24%,-22.90%,-12.95%,-10.40%,45.5,0.02%,"33,817"
47,GPRE,1.69B,-,12.34,-,0.6,1.7,3.06,-,67.40%,212.26%,-48.10%,15.00%,-3.70%,30.48,-3.12%,"2,333,339"
48,SSYS,1.65B,-,62.95,-,2.72,1.73,3.28,152.72,87.90%,149.38%,7.90%,33.00%,-2.00%,25.43,1.36%,"712,586"
49,NOAH,1.62B,8.33,7.24,-,2.39,1.34,2.93,-,276.30%,18.50%,14.60%,-,11.30%,27.8,3.42%,"249,941"
50,IAG,1.60B,-,42.73,-,1.39,0.7,2.9,-,-762.90%,200.00%,-44.50%,3.98%,3.10%,3.29,-2.66%,"11,429,754"
51,CLS,1.56B,14.81,6.85,0.79,0.28,1.04,3.96,8.93,74.70%,11.68%,-2.80%,18.75%,-1.30%,12.19,-3.25%,"970,700"
52,COHU,1.50B,9.36,10.02,-,1.7,1.77,3.96,17.56,152.90%,15.16%,96.20%,-,25.80%,32.13,3.71%,"644,079"
53,GVA,1.48B,-,13.29,-,0.49,1.58,2.53,-,-103.00%,36.59%,-15.00%,7.00%,3.70%,33.25,2.88%,"1,093,907"
54,SCHL,1.46B,36.53,-,4.01,1,1.08,4.87,14.85,74.70%,-,-17.70%,9.10%,-4.90%,37.66,-11.05%,"735,281"
55,SCS,1.37B,113.39,20.4,11.34,0.51,1.63,4.99,-,-86.70%,963.16%,-30.40%,10.00%,-3.20%,12.36,0.90%,"1,851,321"
56,DRQ,1.24B,-,246.09,-,3.84,1.33,3.49,43.68,-315.20%,82.10%,-28.20%,-,-9.70%,33.96,-4.74%,"852,011"
57,NGD,1.23B,8.86,9.73,1.02,1.65,1.28,2.27,16.11,275.70%,40.46%,70.20%,8.65%,7.40%,1.79,-1.10%,"12,930,160"
58,AMRN,1.21B,182.35,103.33,4.69,2.07,1.85,2.66,-,140.70%,700.00%,15.40%,38.90%,35.00%,3.1,1.64%,"2,059,942"
59,TAL,1.11B,-,5.52,-,0.21,0.45,0.39,-,-2.50%,225.00%,-24.10%,-,48.60%,2.87,14.80%,"25,942,113"
60,NHC,1.09B,7.81,-,-,1.02,1.19,4.28,-,230.00%,-,22.00%,-,3.10%,70.17,-0.99%,"530,637"
61,PLAB,1.06B,15.27,10.81,1.53,1.51,1.26,3.38,14.55,73.10%,8.63%,6.80%,10.00%,6.50%,17.56,2.21%,"935,795"
62,HOLI,1.03B,12.78,7.39,0.98,1.62,0.86,1.38,19.75,11.20%,9.57%,-5.80%,13.02%,1.70%,16.92,1.32%,"785,097"
63,NKTR,1.03B,-,-,-,10.13,1.53,1.41,-,-14.80%,21.50%,-21.00%,-7.30%,-9.20%,5.6,1.08%,"4,985,950"
64,GCO,1.02B,8.88,8.68,0.89,0.42,1.72,3.59,4.98,-200.00%,10.62%,-24.20%,10.00%,-10.00%,71.2,2.39%,"503,161"
65,HIVE,1.00B,4.27,12.23,-,4.14,1.45,3.07,-,-,-48.92%,45.30%,-,-,2.03,4.64%,"7,875,912"
66,HZO,997.12M,6.28,6.08,0.21,0.47,1.59,4.61,2.83,101.00%,-3.88%,49.40%,30.00%,17.00%,45.95,0.86%,"1,032,287"
67,PERI,952.41M,21.65,12.22,-,1.99,1.71,2.96,13.51,188.20%,15.86%,55.80%,-,8.90%,21.69,0.88%,"237,849"
68,FLWS,941.17M,10.69,12.37,0.53,0.43,1.68,3.47,-,100.70%,28.00%,26.50%,20.00%,12.60%,14.54,0.48%,"1,212,954"
69,BHE,924.62M,26.49,14.71,2.12,0.41,0.95,3.4,-,159.50%,13.84%,-5.00%,12.52%,-0.60%,26.38,0.42%,"341,979"
70,GEVO,900.92M,-,-,-,1287.03,1.59,2.85,-,57.20%,0.00%,72.50%,25.00%,-51.80%,4.31,-3.36%,"11,238,613"
71,VHI,847.86M,6.81,-,0.27,0.37,1.04,1.21,2.19,149.90%,-,73.50%,25.50%,8.60%,30.4,1.37%,"25,278"
72,JOUT,810.32M,11.27,9.69,0.81,1.1,1.79,4.84,-,50.10%,14.02%,43.20%,14.00%,11.60%,82.77,3.75%,"96,803"
73,MOV,803.49M,9.57,11.7,0.64,1.14,1.87,3.98,8.6,-386.00%,-7.83%,-36.60%,15.00%,-3.20%,36.79,4.93%,"559,828"
74,MX,796.67M,16.83,11.74,0.62,1.68,1.79,2.85,14.35,-3.10%,50.05%,27.70%,27.00%,-7.20%,17.49,0.58%,"422,258"
75,PRDO,785.77M,7.36,8.61,0.49,1.13,1.21,1.59,4.35,-11.30%,-18.52%,55.70%,15.00%,-0.30%,11.36,-0.61%,"784,657"
76,INO,767.42M,-,-,-,426.34,2,1.91,-,-35.60%,33.10%,-7.60%,-,-45.00%,3.76,6.52%,"25,694,828"
77,NTGR,721.94M,15.77,12.27,-,0.62,1.04,2.66,-,-16.30%,22.59%,-5.20%,-,0.40%,24.69,0.41%,"409,607"
78,HLX,709.68M,-,-,-,1.05,0.42,2.8,5.38,-612.70%,-32.70%,10.80%,-,6.70%,4.65,-0.64%,"2,557,253"
79,BLU,690.78M,-,-,-,43173.51,1.83,2.78,-,-66.90%,1.10%,-46.50%,-,-,6.51,0.15%,"331,176"
80,SVM,688.82M,21.06,14.21,4.21,3.25,1.38,3.26,5.87,33.00%,-1.75%,47.60%,5.00%,12.20%,3.98,1.79%,"3,395,565"
81,TA,683.99M,11.21,12.22,2.24,0.09,0.91,1.28,13.79,407.00%,15.45%,77.20%,5.00%,6.10%,44.94,-2.52%,"194,518"
82,VNDA,664.66M,20.63,24.3,0.57,2.47,1.33,1.54,10.45,37.70%,43.48%,27.80%,36.10%,13.00%,12.03,1.18%,"981,051"
83,AGX,638.77M,14.17,13.72,1.42,1.27,1.83,1.33,15.62,145.00%,17.53%,-12.70%,10.00%,-1.00%,40.48,-0.42%,"349,063"
84,SOHU,615.50M,9.68,-,1.87,0.74,0.52,0.44,-,225.90%,-,18.20%,5.17%,-12.70%,16.97,8.37%,"547,542"
85,REX,601.28M,20.36,12.73,2.55,0.87,1.48,2.75,10.28,-58.60%,-16.86%,-35.30%,8.00%,-3.10%,101.74,0.10%,"116,818"
86,NPK,558.06M,21.2,-,-,1.57,1.52,3.88,-,-45.50%,-,-9.60%,-,0.80%,77.08,-2.76%,"146,663"
87,TPC,534.05M,5.8,4.98,0.58,0.12,0.32,2.64,-,-15.70%,50.51%,-1.40%,10.00%,-1.40%,10.38,-0.67%,"623,055"
88,FOSL,529.26M,22.55,-,1.51,0.28,1.19,2.11,13.33,125.60%,-,-21.60%,14.90%,-9.30%,10.6,4.43%,"2,324,430"
89,HVT,514.67M,6.01,6.17,0.46,0.51,1.38,3.1,48.1,56.70%,4.60%,32.70%,13.10%,4.30%,29.46,-3.22%,"712,196"
90,OSUR,510.47M,-,808.89,-,2.18,1.38,3.33,-,-44.50%,-86.76%,-23.90%,20.00%,12.80%,7.28,3.12%,"603,219"
91,RBBN,503.50M,-,8.17,-,0.6,0.94,4.85,239.76,-296.00%,46.43%,-33.60%,12.00%,27.30%,3.35,-0.89%,"2,652,486"
92,IDEX,502.60M,-,-,-,5.08,0.9,1.59,-,44.00%,43.80%,-6.40%,-,42.20%,1,-1.11%,"10,503,374"
93,CO,491.10M,6.16,-,0.21,2.55,0.67,0.49,4.54,8.00%,-,27.40%,30.00%,11.80%,4.04,0.00%,"38,944"
94,ANIP,489.23M,-,7.68,-,2.3,1.16,4.88,698.9,-80.30%,56.74%,-64.40%,2.20%,10.90%,27.24,-3.81%,"708,448"
95,SOL,460.27M,43.82,21.04,2.92,6.29,1.14,1.67,-,125.70%,81.67%,17.30%,15.00%,-43.50%,6.88,4.24%,"2,089,897"
